entidad_federativa,percepcion_inseguridad
Zacatecas,0.919
México,0.88
Morelos,0.87
Guanajuato,0.829
Veracruz de Ignacio de la Llave,0.814
Colima,0.809
Michoacán de Ocampo,0.808
Ciudad de México,0.801
Jalisco,0.787
Puebla,0.783
Tabasco,0.782
Chihuahua,0.781
Quintana Roo,0.781
Guerrero,0.767
San Luis Potosí,0.765
Sonora,0.762
Tamaulipas,0.749
Estados Unidos Mexicanos,0.746
Oaxaca,0.744
Baja California,0.685
Chiapas,0.681
Nuevo León,0.67
Hidalgo,0.63
Sinaloa,0.625
Tlaxcala,0.624
Campeche,0.616
Querétaro,0.545
Durango,0.517
Aguascalientes,0.497
Nayarit,0.462
Coahuila de Zaragoza,0.441
Yucatán,0.378
Baja California Sur,0.334
